0,1324151268.98,1324151268.99,1,1,http://10.125.5.70:38020/share/node0.txt
1,1324151270.0,1324151270.0,1,1,http://10.125.5.70:38020/share/node0.txt
1,1324151270.0,1324151270.01,2,2,http://10.125.5.88:46827/share/node1.txt
2,1324151270.99,1324151271.0,1,1,http://10.125.5.70:38020/share/node0.txt
2,1324151270.99,1324151271.0,2,2,http://10.125.5.88:46827/share/node1.txt
2,1324151270.99,1324151271.01,3,3,http://10.125.5.89:44328/share/node2.txt
3,1324151272.01,1324151272.02,1,1,http://10.125.5.70:38020/share/node0.txt
3,1324151272.01,1324151272.02,1,4,http://10.125.4.97:37324/share/node3.txt
3,1324151272.01,1324151272.02,2,2,http://10.125.5.88:46827/share/node1.txt
3,1324151272.01,1324151272.03,2,3,http://10.125.5.89:44328/share/node2.txt
4,1324151272.99,1324151273.0,1,1,http://10.125.5.70:38020/share/node0.txt
4,1324151272.99,1324151273.0,1,4,http://10.125.4.97:37324/share/node3.txt
4,1324151272.99,1324151273.01,2,2,http://10.125.5.88:46827/share/node1.txt
4,1324151272.99,1324151273.01,2,3,http://10.125.5.89:44328/share/node2.txt
4,1324151272.99,1324151273.01,2,5,http://10.125.4.204:45263/share/node4.txt
5,1324151274.0,1324151274.01,1,1,http://10.125.5.70:38020/share/node0.txt
5,1324151274.0,1324151274.01,1,4,http://10.125.4.97:37324/share/node3.txt
5,1324151274.0,1324151274.01,2,2,http://10.125.5.88:46827/share/node1.txt
5,1324151274.0,1324151274.02,2,3,http://10.125.5.89:44328/share/node2.txt
5,1324151274.0,1324151274.02,2,5,http://10.125.4.204:45263/share/node4.txt
5,1324151274.0,1324151274.03,3,6,http://10.125.4.212:53419/share/node5.txt
6,1324151275.0,1324151275.01,1,1,http://10.125.5.70:38020/share/node0.txt
6,1324151275.0,1324151275.01,1,4,http://10.125.4.97:37324/share/node3.txt
6,1324151275.0,1324151275.01,2,2,http://10.125.5.88:46827/share/node1.txt
6,1324151275.0,1324151275.02,2,3,http://10.125.5.89:44328/share/node2.txt
6,1324151275.0,1324151275.02,2,5,http://10.125.4.204:45263/share/node4.txt
6,1324151275.0,1324151275.03,3,6,http://10.125.4.212:53419/share/node5.txt
6,1324151275.0,1324151275.03,3,7,http://10.125.4.214:33969/share/node6.txt
7,1324151275.99,1324151276.0,1,1,http://10.125.5.70:38020/share/node0.txt
7,1324151275.99,1324151276.0,1,4,http://10.125.4.97:37324/share/node3.txt
7,1324151275.99,1324151276.0,2,2,http://10.125.5.88:46827/share/node1.txt
7,1324151275.99,1324151276.01,2,3,http://10.125.5.89:44328/share/node2.txt
7,1324151275.99,1324151276.01,2,5,http://10.125.4.204:45263/share/node4.txt
7,1324151275.99,1324151276.01,2,8,http://10.125.4.218:36171/share/node7.txt
7,1324151275.99,1324151276.02,3,6,http://10.125.4.212:53419/share/node5.txt
7,1324151275.99,1324151276.02,3,7,http://10.125.4.214:33969/share/node6.txt
8,1324151276.99,1324151277.0,1,1,http://10.125.5.70:38020/share/node0.txt
8,1324151276.99,1324151277.0,1,4,http://10.125.4.97:37324/share/node3.txt
8,1324151276.99,1324151277.0,2,2,http://10.125.5.88:46827/share/node1.txt
8,1324151276.99,1324151277.01,2,3,http://10.125.5.89:44328/share/node2.txt
8,1324151276.99,1324151277.01,2,5,http://10.125.4.204:45263/share/node4.txt
8,1324151276.99,1324151277.01,2,8,http://10.125.4.218:36171/share/node7.txt
8,1324151276.99,1324151277.02,3,6,http://10.125.4.212:53419/share/node5.txt
8,1324151276.99,1324151277.02,3,7,http://10.125.4.214:33969/share/node6.txt
8,1324151276.99,1324151277.03,3,9,http://10.125.4.220:47835/share/node8.txt
8,1324151276.99,1324151277.04,4,10,http://10.125.5.90:39987/share/node9.txt
9,1324151278.01,1324151278.02,1,1,http://10.125.5.70:38020/share/node0.txt
9,1324151278.01,1324151278.02,1,4,http://10.125.4.97:37324/share/node3.txt
9,1324151278.01,1324151278.03,2,2,http://10.125.5.88:46827/share/node1.txt
9,1324151278.01,1324151278.03,2,3,http://10.125.5.89:44328/share/node2.txt
9,1324151278.01,1324151278.03,2,5,http://10.125.4.204:45263/share/node4.txt
9,1324151278.01,1324151278.04,2,8,http://10.125.4.218:36171/share/node7.txt
9,1324151278.01,1324151278.04,3,6,http://10.125.4.212:53419/share/node5.txt
9,1324151278.01,1324151278.05,3,7,http://10.125.4.214:33969/share/node6.txt
9,1324151278.01,1324151278.05,3,9,http://10.125.4.220:47835/share/node8.txt
9,1324151278.01,1324151278.06,4,10,http://10.125.5.90:39987/share/node9.txt
9,1324151278.01,1324151278.07,4,11,http://10.125.5.91:46941/share/node10.txt
10,1324151278.99,1324151279.0,1,1,http://10.125.5.70:38020/share/node0.txt
10,1324151278.99,1324151279.0,1,4,http://10.125.4.97:37324/share/node3.txt
10,1324151278.99,1324151279.01,2,2,http://10.125.5.88:46827/share/node1.txt
10,1324151278.99,1324151279.01,2,3,http://10.125.5.89:44328/share/node2.txt
10,1324151278.99,1324151279.02,2,5,http://10.125.4.204:45263/share/node4.txt
10,1324151278.99,1324151279.02,3,6,http://10.125.4.212:53419/share/node5.txt
10,1324151278.99,1324151279.02,2,8,http://10.125.4.218:36171/share/node7.txt
10,1324151278.99,1324151279.03,3,7,http://10.125.4.214:33969/share/node6.txt
10,1324151278.99,1324151279.03,3,9,http://10.125.4.220:47835/share/node8.txt
10,1324151278.99,1324151279.04,4,10,http://10.125.5.90:39987/share/node9.txt
10,1324151278.99,1324151279.04,4,11,http://10.125.5.91:46941/share/node10.txt
